keys,zh,en
INFO_MODE_STATS_SUMMARY_WITH_TARGET,"在 %dx%d 尺寸下的最高分：%d
游玩 %d 局 · 最佳步数 %s · 最大方块 %s
目标 %d：达成 %d 次 · %d%%
平均：%s 分 · %s 步
最近一局：%d 分 · %s 步","High Score at %dx%d: %d
Played %d · Best Moves %s · Max Tile %s
Target %d: %d reached · %d%%
Average: %s pts · %s moves
Last Run: %d pts · %s moves"
BTN_QUIT,退出,Quit
MODE_CLASSIC_NAME,经典模式,Classic Mode
MODE_CLASSIC_DESC,"玩法说明:
移动方块，让两个相同数值的方块碰撞以合并成一个两倍数值的方块。","How to play:
Move tiles. Merge two tiles with the same number to get a tile with double the value."
MODE_FIBONACCI_NAME,斐波那契模式,Fibonacci Mode
MODE_FIBONACCI_DESC,"玩法说明:
两个 '1' 可以合并成 '2'。
两个在斐波那契数列中相邻的数字可以合并成它们的和 (例如 2+3=5)。","How to play:
Two '1's merge into '2'.
Adjacent numbers in the Fibonacci sequence merge into their sum (e.g., 2+3=5)."
MODE_LUCAS_NAME,卢卡斯-斐波那契模式,Lucas-Fibonacci Mode
MODE_LUCAS_DESC,"玩法说明:
斐波那契数与卢卡斯数可以分别合并。
特殊规则: F(n-1) + F(n+1) = L(n)。","How to play:
Fibonacci and Lucas numbers merge separately.
Special Rule: F(n-1) + F(n+1) = L(n)."
MODE_PROGRESSIVE_NAME,渐进模式,Progressive Mode
MODE_PROGRESSIVE_DESC,"玩法说明:
初始只生成2和4。
合成2048后，解锁生成8。
合成4096后，解锁生成16，以此类推。","How to play:
Starts with 2 and 4.
Merging 2048 unlocks 8.
Merging 4096 unlocks 16, and so on."
MODE_STEP_NAME,步进对边模式,Step-by-Step Mode
MODE_STEP_DESC,"玩法说明:
移动规则: 每次滑动，所有方块只移动一格。
生成规则: 新方块会生成在您滑动方向的对向边缘。","How to play:
Movement: Tiles move only one step per slide.
Spawn: New tiles appear on the edge opposite to your slide direction."
MODE_RATIO_NAME,比值模式,Ratio Mode
MODE_RATIO_DESC,"玩法说明:
同定义的等值方块相加；不同定义的方块相遇时，以较大数除以较小数，商至少为 1。
每次移动后有较小概率生成因子方块，未生成时会提高下一次概率。","How to play:
Equal tiles with the same definition add together. Tiles with different definitions resolve to the larger value divided by the smaller, with a minimum result of 1.
Factor tiles have a low chance to spawn after each move. A miss increases the next chance."
TITLE_GAME_OVER,游戏结束,Game Over
TITLE_TARGET_REACHED,目标达成,Target Reached
TARGET_REACHED_PANEL_MESSAGE,"你已经达成本局目标。可以继续挑战更高方块，也可以重新开始或返回主界面。","You reached this run's target. Keep pushing for a higher tile, restart, or return to the main menu."
TARGET_REACHED_SUMMARY_LOADING,正在整理目标摘要...,Preparing target summary...
TARGET_REACHED_SUMMARY_UNAVAILABLE,暂无目标摘要,Target summary unavailable
TARGET_REACHED_SUMMARY_FORMAT,"目标 %d 已完成
当前：%d 分 · %d 步 · 最大方块 %d","Target %d reached
Run: %d pts · %d moves · Max %d"
GAME_OVER_SUMMARY_LOADING,正在整理结算...,Preparing summary...
GAME_OVER_SUMMARY_UNAVAILABLE,暂无结算数据,Summary unavailable
GAME_OVER_NEW_RECORD_PREFIX,新纪录！,New Record!
GAME_OVER_SUMMARY_FORMAT,"%s · %dx%d
本局：%d 分 · %d 步 · 最大方块 %d
历史：最高分 %d · 最佳步数 %s · 最大方块 %s
平均：%s 分 · %s 步
完整对局：%d","%s · %dx%d
Run: %d pts · %d moves · Max %d
Best: %d pts · %s moves · Max %s
Average: %s pts · %s moves
Completed: %d"
GAME_OVER_SUMMARY_FORMAT_WITH_TARGET,"%s · %dx%d
本局：%d 分 · %d 步 · 最大方块 %d
历史：最高分 %d · 最佳步数 %s · 最大方块 %s
平均：%s 分 · %s 步
目标 %d：本局%s · 累计 %d 次 · %d%%
完整对局：%d","%s · %dx%d
Run: %d pts · %d moves · Max %d
Best: %d pts · %s moves · Max %s
Average: %s pts · %s moves
Target %d: %s · %d reached · %d%%
Completed: %d"
TITLE_PAUSE,暂停,Paused
BTN_RESUME,继续游戏,Resume
BTN_CONTINUE_CHALLENGE,继续挑战,Keep Going
BTN_RESTART,重新开始,Restart
BTN_SETTINGS,设置,Settings
BTN_MAIN_MENU,返回主界面,Main Menu
BTN_REPLAY_AGAIN,重来,Play Again
BTN_REPLAY_LIST,回放列表,Replay List
RULE_CLASSIC_TILE,经典方块,Classic Tile
RULE_FIBONACCI_TILE,斐波那契方块,Fibonacci Tile
RULE_CLASSIC_FIBONACCI,经典与斐波那契复合方块,Classic/Fibonacci Hybrid Tile
RULE_LUCAS_FIBONACCI_TILE,数列复合方块,Sequence Hybrid Tile
RULE_RATIO_BASE_TILE,基础方块,Base Tile
RULE_RATIO_FACTOR_TILE,因子方块,Factor Tile
TILE_RECIPE_CLASSIC_MERGE,同值倍增,Equal-value Doubling
TILE_RECIPE_FIBONACCI_MERGE,斐波那契相邻合并,Fibonacci Adjacency
TILE_RECIPE_LUCAS_MERGE,卢卡斯相邻合并,Lucas Adjacency
TILE_RECIPE_LUCAS_BRIDGE,数列桥接,Sequence Bridge
TILE_RECIPE_CROSS_DEFINITION_RATIO,比例换算,Ratio Conversion
BTN_TILE_CATALOG,方块图鉴,Tile Catalog
BTN_ACHIEVEMENTS,成就,Achievements
TILE_CATALOG_TITLE,方块图鉴,Tile Catalog
TILE_CATALOG_SEARCH_PLACEHOLDER,搜索方块或规则,Search tiles or rules
TILE_CATALOG_FILTER_ALL,全部,All
TILE_CATALOG_FILTER_DISCOVERED,已发现,Discovered
TILE_CATALOG_FILTER_UNDISCOVERED,未发现,Undiscovered
TILE_CATALOG_UNDISCOVERED,未发现,Undiscovered
TILE_CATALOG_LOCKED_SUMMARY,未知规则,Unknown rules
TILE_CATALOG_RULE_COUNT,%d 条规则,%d rules
TILE_CATALOG_PROGRESS,已发现 %d / %d,Discovered %d / %d
TILE_CATALOG_STATE_DISCOVERED,已记录,Recorded
TILE_CATALOG_STATE_UNDISCOVERED,尚未发现,Not discovered
TILE_CATALOG_LOCKED_DETAIL,详情尚未解锁。,Details are locked.
TILE_CATALOG_FORM,形态：%s,Form: %s
TILE_CATALOG_FORM_INITIAL,基础组合,Base composition
TILE_CATALOG_FORM_COMPOSED,复合组合,Composite composition
TILE_CATALOG_RECIPES,规则：%s,Rules: %s
TILE_CATALOG_MAX_VALUE,最高记录：%d,Highest observed: %d
TILE_CATALOG_DISCOVERED_AT,发现时间：%s,Discovered: %s
TILE_CATALOG_DETAIL_EMPTY,没有可显示的方块,No tiles to display
TILE_CATALOG_EMPTY,没有符合条件的方块,No matching tiles
ACHIEVEMENTS_TITLE,成就,Achievements
ACHIEVEMENTS_SEARCH_PLACEHOLDER,搜索成就,Search achievements
ACHIEVEMENTS_FILTER_ALL,全部,All
ACHIEVEMENTS_FILTER_UNLOCKED,已解锁,Unlocked
ACHIEVEMENTS_FILTER_IN_PROGRESS,进行中,In Progress
ACHIEVEMENTS_PROGRESS,已解锁 %d / %d,Unlocked %d / %d
ACHIEVEMENTS_EMPTY,没有符合条件的成就,No matching achievements
ACHIEVEMENT_STATUS_UNLOCKED,已解锁,Unlocked
ACHIEVEMENT_STATUS_IN_PROGRESS,进行中,In Progress
ACHIEVEMENT_HIDDEN_DESC,继续探索以揭示这个成就。,Keep exploring to reveal this achievement.
ACHIEVEMENT_FIRST_GAME_TITLE,初次收官,First Finish
ACHIEVEMENT_FIRST_GAME_DESC,完成第一局未受调试污染的游戏。,Complete your first untainted game.
ACHIEVEMENT_TEN_GAMES_TITLE,渐入佳境,Warming Up
ACHIEVEMENT_TEN_GAMES_DESC,完成 10 局未受调试污染的游戏。,Complete 10 untainted games.
ACHIEVEMENT_FIRST_TARGET_TITLE,抵达目标,Target Acquired
ACHIEVEMENT_FIRST_TARGET_DESC,第一次达成当前模式设定的目标。,Reach a mode target for the first time.
ACHIEVEMENT_REACH_2048_TITLE,名副其实,The 2048
ACHIEVEMENT_REACH_2048_DESC,在任意有效对局中达到 2048 方块。,Reach a 2048 tile in any valid game.
ACHIEVEMENT_SCORE_10000_TITLE,五位数,Five Digits
ACHIEVEMENT_SCORE_10000_DESC,单局最高分达到 10000。,Reach a best single-game score of 10000.
ACHIEVEMENT_TILE_COLLECTOR_TITLE,规则采集者,Rule Collector
ACHIEVEMENT_TILE_COLLECTOR_DESC,发现 3 种不同的方块组合。,Discover 3 distinct tile compositions.
ACHIEVEMENT_BOARD_EXPLORER_TITLE,拓扑漫游者,Topology Wanderer
ACHIEVEMENT_BOARD_EXPLORER_DESC,在 3 种不同棋盘拓扑上开始游戏。,Start games on 3 distinct board topologies.
RATIO_RESOLUTIONS_DISPLAY,求商次数: %d,Ratio Resolutions: %d
RATIO_ALTERNATE_CHANCE,下次移动生成因子方块概率: %.1f%%,Factor Tile Chance: %.1f%%
RATIO_SPAWN_INFO,可能生成的因子方块:\n,Possible Factor Tiles:\n
RULE_FIBONACCI,斐波那契数,Fibonacci Number
RULE_LUCAS,卢卡斯数,Lucas Number
TIP_SYNTHESIS_FORMAT,合成提示: [color=cyan]%d[/color] + [color=cyan]%d[/color] = [color=yellow]%d[/color],Hint: [color=cyan]%d[/color] + [color=cyan]%d[/color] = [color=yellow]%d[/color]
LABEL_FIB_SEQ,斐波那契:,Fibonacci:
LABEL_LUC_SEQ,卢卡斯:,Lucas:
LABEL_SYNTH_SEQ,合成序列:,Sequence:
DEBUG_TITLE,测试工具 (仅编辑器内),Debug Tools (Editor Only)
DEBUG_POS_X,X坐标：,Pos X:
DEBUG_POS_Y,Y坐标：,Pos Y:
DEBUG_VALUE,数值：,Value:
DEBUG_TYPE,方块：,Tile:
DEBUG_SPAWN,生成方块,Spawn Tile
DEBUG_BOARD_CTRL,棋盘控制,Board Control
DEBUG_BOARD_SIZE,棋盘大小：,Board Size:
DEBUG_RESET_RESIZE,重置并调整大小,Reset & Resize
DEBUG_LIVE_EXPAND,游戏中扩建棋盘,Live Expand
LABEL_MODE,模式:,Mode:
LABEL_TIME,时间:,Time:
LABEL_SCORE,分数:,Score:
LABEL_MOVES,步数:,Moves:
HUD_DETAILS_EXPAND,展开详细状态,Expand status details
HUD_DETAILS_COLLAPSE,收起详细状态,Collapse status details
LABEL_RATIO_RESOLUTIONS,求商:,Ratios:
LABEL_BOARD,棋盘:,Board:
LABEL_SEED,种子:,Seed:
LABEL_FINAL_SCORE,最终分数:,Final Score:
LABEL_TOTAL_MOVES,总步数:,Total Moves:
TITLE_LOAD_SAVE,读取存档,Load Save
TITLE_REPLAY_LIST,回放列表,Replay List
TITLE_SAVE_PREVIEW,存档预览,Save Preview
TITLE_REPLAY_PREVIEW,回放预览,Replay Preview
BTN_LOAD_SAVE,读取存档,Load Save
BTN_DELETE_SAVE,删除存档,Delete Save
BTN_DELETE_REPLAY,删除回放,Delete Replay
BTN_PLAY_REPLAY,播放回放,Play Replay
BTN_RETURN_MAIN,返回主菜单,Return to Main Menu
TITLE_GAME_STATUS,游戏状态,Game Status
LABEL_REPLAY_CONTROLS,回放控制,Replay Controls
LABEL_REPLAY_PROGRESS,回放进度: %d / %d,Replay Step: %d / %d
REPLAY_KEYS_STEP_HINT,上一步: A / ←    下一步: D / → / Space / Enter,Prev: A / ←    Next: D / → / Space / Enter
REPLAY_KEYS_ACTION_HINT,从此继续: C    返回列表: Esc / B,Continue: C    Back: Esc / B
FORMAT_RATIO_PROBABILITY,"  - %d (概率: %.1f%%)
","  - %d (Chance: %.1f%%)
"
BOARD_EDITOR_OPEN,自定义棋盘,Custom Board
BOARD_EDITOR_OPTION_FORMAT,自定义 · %s,Custom · %s
BOARD_EDITOR_TITLE,棋盘编辑器,Board Editor
BOARD_EDITOR_CANVAS_HINT,左键绘制 · 右键擦除,Left draw · Right erase
BOARD_EDITOR_SECTION_EDIT,编辑,Edit
BOARD_EDITOR_SECTION_LIBRARY,模板库,Library
BOARD_EDITOR_TOOL_TITLE,绘制工具,Drawing Tools
BOARD_EDITOR_TOOL_BRUSH,画笔,Brush
BOARD_EDITOR_TOOL_ERASER,橡皮擦,Eraser
BOARD_EDITOR_UNDO,撤销,Undo
BOARD_EDITOR_REDO,重做,Redo
BOARD_EDITOR_PRESET_RECTANGLE,默认矩形,Default Rectangle
BOARD_EDITOR_PRESET_CROSS,十字形,Cross
BOARD_EDITOR_NORMALIZE,移至左上原点,Move to Origin
BOARD_EDITOR_CLEAR,清空,Clear
BOARD_EDITOR_COMPONENT_HINT,断开的区域允许保存，移动时会形成独立通道。,Disconnected regions are allowed and form independent movement lanes.
BOARD_EDITOR_LIBRARY_TITLE,我的棋盘,My Boards
BOARD_EDITOR_NAME_PLACEHOLDER,棋盘名称,Board name
BOARD_EDITOR_DEFAULT_NAME,我的棋盘,My Board
BOARD_EDITOR_SAVE,另存为模板,Save as Template
BOARD_EDITOR_LOAD,载入,Load
BOARD_EDITOR_DELETE,删除,Delete
BOARD_EDITOR_APPLY,使用此棋盘,Use This Board
BOARD_EDITOR_INVALID_TEMPLATE,当前模式没有有效的棋盘模板。,This mode has no valid board template.
BOARD_EDITOR_STATUS_EMPTY,至少绘制一个活跃格子。,Draw at least one active cell.
BOARD_EDITOR_STATUS_REJECTED,当前形状 %dx%d / %d 格不符合模式尺寸限制。,Shape %dx%d / %d cells does not meet this mode's limits.
BOARD_EDITOR_STATUS_DISCONNECTED,有效：%dx%d / %d 格，共 %d 个独立区域。,Valid: %dx%d / %d cells across %d disconnected regions.
BOARD_EDITOR_STATUS_VALID,有效：%dx%d / %d 格，单一连通区域。,Valid: %dx%d / %d cells in one connected region.
BOARD_EDITOR_LIBRARY_EMPTY,尚未选择已保存棋盘。,No saved board selected.
BOARD_EDITOR_LIBRARY_DETAIL,尺寸 %s · %d 格 · %d 个区域,Size %s · %d cells · %d regions
BOARD_EDITOR_INCOMPATIBLE_SUFFIX,（当前模式不可用）, (unavailable in this mode)
BOARD_EDITOR_SAVE_FAILED,保存失败，错误码：%d,Save failed with error %d
BOARD_EDITOR_DELETE_FAILED,删除失败，错误码：%d,Delete failed with error %d
BOARD_EDITOR_ACTION_DRAW,绘制格子,Draw Cells
BOARD_EDITOR_ACTION_ERASE,擦除格子,Erase Cells
BOARD_EDITOR_ACTION_RECTANGLE,应用矩形预设,Apply Rectangle Preset
BOARD_EDITOR_ACTION_CROSS,应用十字预设,Apply Cross Preset
BOARD_EDITOR_ACTION_NORMALIZE,规范化棋盘位置,Normalize Board Position
BOARD_EDITOR_ACTION_CLEAR,清空棋盘,Clear Board
BOARD_EDITOR_ACTION_LOAD,载入棋盘模板,Load Board Template
